,ORDER_ID,SALESMAN_ID,EMPLOYEE_ID
0,105,54.0,54.0
1,44,55.0,55.0
2,101,55.0,55.0
3,1,56.0,56.0
4,5,56.0,56.0
5,28,57.0,57.0
6,87,57.0,57.0
7,4,59.0,59.0
8,41,59.0,59.0
9,82,60.0,60.0
10,102,61.0,61.0
11,26,62.0,62.0
12,43,62.0,62.0
13,53,62.0,62.0
14,81,62.0,62.0
15,83,62.0,62.0
16,93,62.0,62.0
17,94,62.0,62.0
18,79,64.0,64.0
19,80,64.0,64.0
20,2,,
21,3,,
22,6,,
23,7,,
24,8,,
25,9,,
26,10,,
27,11,,
28,12,,
29,13,,
30,14,,
31,15,,
32,16,,
33,17,,
34,18,,
35,19,,
36,20,,
37,21,,
38,22,,
39,23,,
40,24,,
41,25,,
42,27,,
43,29,,
44,30,,
45,31,,
46,32,,
47,33,,
48,34,,
49,35,,
50,36,,
51,37,,
52,38,57.0,57.0
53,39,62.0,62.0
54,40,62.0,62.0
55,42,64.0,64.0
56,45,64.0,64.0
57,46,62.0,62.0
58,47,62.0,62.0
59,48,64.0,64.0
60,49,55.0,55.0
61,50,55.0,55.0
62,51,59.0,59.0
63,52,60.0,60.0
64,54,56.0,56.0
65,55,59.0,59.0
66,56,55.0,55.0
67,57,57.0,57.0
68,58,57.0,57.0
69,59,59.0,59.0
70,60,62.0,62.0
71,61,54.0,54.0
72,62,62.0,62.0
73,63,61.0,61.0
74,64,64.0,64.0
75,65,64.0,64.0
76,66,61.0,61.0
77,67,61.0,61.0
78,68,,
79,69,54.0,54.0
80,70,61.0,61.0
81,71,54.0,54.0
82,72,64.0,64.0
83,73,,
84,74,64.0,64.0
85,75,,
86,76,55.0,55.0
87,77,60.0,60.0
88,78,64.0,64.0
89,84,64.0,64.0
90,85,55.0,55.0
91,86,60.0,60.0
92,88,61.0,61.0
93,89,55.0,55.0
94,90,55.0,55.0
95,91,56.0,56.0
96,92,59.0,59.0
97,95,59.0,59.0
98,96,56.0,56.0
99,97,60.0,60.0
100,98,55.0,55.0
101,99,60.0,60.0
102,100,54.0,54.0
103,103,64.0,64.0
104,104,60.0,60.0
